交易日期,开盘价,最高价,最低价,收盘价,前收盘价,涨跌额,涨跌幅(%),成交量(手),成交额(元),换手率(%),MA5,MA10,MA20,MA60,MA120,MA250,MACD_DIF,MACD_DEA,MACD柱,RSI6,RSI12,RSI24,KDJ_K,KDJ_D,KDJ_J,BOLL中轨,BOLL上轨,BOLL下轨,60日波动率
20220512,15.22592463,15.67286958,15.10673931,15.42456683,15.36497417,0.05959265999999985,0.3878,8517193,132571390.41,1.0899,15.112698576,14.459165738,14.849497661000001,18.759272762500004,22.371084564,,-0.8809128338820802,-1.2319863188056215,0.7021469698470826,62.53042912477241,47.976442211174465,41.20690590610109,80.55257112626317,68.26757087402368,105.12257163074219,14.849497661000001,16.980320819957527,12.718674502042475,3.7084562752609864
20220513,15.61327692,15.67286958,15.08687509,15.25572096,15.42456683,-0.16884587000000018,-1.0947,9270141,142298133.51,1.1862,15.223938207999998,14.744217294999999,14.787918579000001,18.644391356833335,22.27449479425,,-0.7934044986631346,-1.1442699547771242,0.7017309122279793,57.36754348922575,46.42435820539882,40.60507689437043,79.22835596673922,71.92116590492884,93.84273609035995,14.787918579000001,16.786534285390672,12.78930287260933,3.6661804827410043
20220516,15.32524573,15.83178334,15.31531362,15.36497417,15.25572096,0.10925321000000032,0.7161,8727994,136715812.2,1.1169,15.327232151999999,14.935907018,14.7675577535,18.53248958416667,22.164165605666664,,-0.7070868346749215,-1.0568333307566837,0.6994929921635245,59.93604555350049,47.620495132629785,41.18506343584184,77.85877638491333,73.900369398257,85.775590358226,14.7675577535,16.73195764020418,12.803157866795823,3.669730283096447
20220517,15.41463472,15.64307325,15.15639986,15.61327692,15.36497417,0.24830275000000057,1.616,6659781,103881447.9,0.8522,15.404702609999998,15.158386282,14.7675577535,18.418766924666667,22.056319444583334,,-0.6115934388474056,-0.9677853523748281,0.712383827054845,65.5900055737844,50.36783638992795,42.51626643826328,79.15810317367385,75.65294732339595,86.16841487422965,14.7675577535,16.73195764020418,12.803157866795823,3.6696964597740944
20220518,15.75232646,15.85164756,15.4940916,15.63314114,15.61327692,0.019864219999998767,0.1272,6055797,95733179.41,0.7749,15.458336004,15.248768483000001,14.787918579000001,18.300078210166667,21.94623855875,,-0.5282223397933983,-0.8798727498585421,0.7033008201302877,66.04995544484296,50.5939931228296,42.624672913185606,80.47477148326732,77.26022204335307,86.90387036309582,14.787918579000001,16.78056088650649,12.795276271493513,3.6618338355923106
20220519,15.40470261,15.92117233,15.25572096,15.90130811,15.63314114,0.2681669700000011,1.7154,7376166,116313464.64,0.9439,15.55368426,15.333191417999998,14.799340505500002,18.189831789166668,21.833922948166666,,-0.4354912379158318,-0.7909964474700002,0.7110104191083368,72.0929802102129,53.70098685715242,44.10946517167344,86.5445844954379,80.35500952738134,98.92373443155103,14.799340505500002,16.815817357645205,12.782863653354797,3.6729250606544652
20220520,15.92117233,16.79519801,15.92117233,16.29859251,15.90130811,0.3972843999999984,2.4984,11942709,196612207.52,1.5282,15.76225857,15.493098389,14.826653808,18.097297631,21.72922195525,,-0.3261835992605775,-0.6980338778281158,0.7437005571350765,78.80114711498817,57.97247518771895,46.2593874751176,84.08527855140709,81.59843253538992,89.05897058344141,14.826653808,16.91113298142144,12.74217463457856,3.6789024433876016
20220523,16.22906774,16.61642003,16.15954297,16.56675948,16.29859251,0.2681669700000029,1.6453,8566719,141853272.14,1.0962,16.002615632,15.664923892000001,14.863402615000002,18.00691543,21.627500595333334,,-0.21543428248782348,-0.6015139587600573,0.7721593525444677,82.2559826082923,60.6460258594105,47.6770215262769,84.9328213581625,82.7098954763141,89.3786731218593,14.863402615000002,17.04609417617619,12.680711053823813,3.686114814878026
20220524,16.4873026,16.62635214,15.36497417,15.3947705,16.56675948,-1.1719889800000018,-7.0743,12058872,193675897.17,1.5431,15.958914348000002,15.681808479,14.891212523000002,17.894517051833336,21.5194061315,,-0.2197017816261173,-0.5251515233332693,0.610899483414304,44.34998277311848,46.53294200911255,42.557395750181406,62.62963284307449,76.01647459856756,35.85594933208836,14.891212523000002,17.086707628909025,12.695717417090977,3.7821656389198473
20220525,15.26565307,15.83178334,15.26565307,15.76225857,15.3947705,0.3674880700000003,2.3871,7436432,116853131.78,0.9516,15.984737834000004,15.721536919000002,14.966696558999999,17.7601024965,21.406428380250002,,-0.19122625221451095,-0.4583664691095176,0.5342804337900133,52.573578968737856,50.47524658874735,44.50710392882066,54.93138313492166,68.98811077735226,26.81792785006047,14.966696558999999,17.173521107242845,12.759872010757153,3.648703424654398
