交易日期,开盘价,最高价,最低价,收盘价,前收盘价,涨跌额,涨跌幅(%),成交量(手),成交额(元)
20260108,1390.42688039,1390.45618688,1375.58802762,1379.6518609,1390.45618688,-10.80432597999993,-0.777,2913454,4117925041.37
20260109,1384.243211,1395.5750538,1383.27609683,1386.2946653,1379.6518609,6.642804399999932,0.4815,2984774,4243865418.15
20260112,1386.2946653,1397.919573,1384.3408993,1390.32919209,1386.2946653,4.0345267900002,0.291,3608266,5135636032.86
20260113,1393.80689557,1396.47378616,1376.41837817,1378.381913,1390.32919209,-11.947279090000166,-0.8593,3916866,5555633778.58
20260114,1378.381913,1389.37184675,1363.90450694,1365.69220283,1378.381913,-12.689710169999898,-0.9206,5175797,7285041159.31
20260115,1363.74820566,1370.40077889,1356.48019614,1356.78302987,1365.69220283,-8.909172959999978,-0.6524,4090714,5698739671.26
20260116,1362.751785,1365.1939925,1348.09854,1350.052306,1356.78302987,-6.73072387000002,-0.4961,5512068,7643061997.67
20260119,1349.9546177,1355.41539367,1343.214125,1344.191008,1350.052306,-5.861298000000033,-0.4342,4228640,5833745441.57
20260120,1347.6100985,1349.64201514,1340.33232015,1341.79764465,1344.191008,-2.3933633500000724,-0.1781,3648443,5021900765.1
20260121,1341.80741348,1342.6279952,1318.79205,1319.82754598,1341.79764465,-21.97009866999997,-1.6374,6451625,8775880803.48
20260122,1320.75558483,1330.28019408,1306.56147484,1309.08183298,1319.82754598,-10.745713000000023,-0.8142,5901089,7962441433.5
20260123,1309.1209083,1316.838284,1301.66729101,1306.092571,1309.08183298,-2.9892619800000375,-0.2283,6194890,8301311489.4
20260126,1309.52143033,1323.676465,1294.48720096,1310.976986,1306.092571,4.88441499999999,0.374,8016606,10751225525.38
20260127,1313.88809734,1322.4065171,1307.069454,1311.96363783,1310.976986,0.986651830000028,0.0753,4841596,6514513216.1
20260128,1311.99294432,1315.57810493,1291.44909483,1293.09025827,1311.96363783,-18.873379559999876,-1.4386,7621801,10135019524.34
20260129,1304.138805,1411.595935,1298.33611998,1404.48422676,1293.09025827,111.3939684899999,8.6146,18953440,26305591086.21
20260130,1401.827105,1401.827105,1368.613083,1368.613083,1404.48422676,-35.871143759999995,-2.554,9447974,13366329413.51
20260202,1392.058275,1424.86200614,1378.98758046,1394.012041,1368.613083,25.398957999999993,1.8558,8572427,12312646442.55
20260203,1411.595935,1442.67058323,1409.67147549,1440.82427436,1394.012041,46.81223335999994,3.3581,8632066,12628439702.8
20260204,1450.671255,1497.82539741,1439.925542,1489.746575,1440.82427436,48.92230064,3.3954,10912293,16444345979.59
20260205,1484.86216,1528.821895,1479.977745,1519.053065,1489.746575,29.306490000000167,1.9672,9162274,14183456476.13
20260206,1519.053065,1531.752544,1471.06857204,1479.98751383,1519.053065,-39.06555117000016,-2.5717,7896538,12019878669.0
20260209,1482.908394,1507.21324304,1478.50265167,1489.70749968,1479.98751383,9.719985850000057,0.6568,5116846,7809067704.6
20260210,1489.71726851,1489.71726851,1461.9054095,1470.0135384,1489.70749968,-19.69396127999994,-1.322,3957596,5953269320.58
20260211,1470.0135384,1479.000862,1461.416968,1469.55440339,1470.0135384,-0.4591350099999545,-0.0312,3092846,4648360030.09
20260212,1465.5198766,1468.07931006,1439.30033688,1452.2342678,1469.55440339,-17.320135590000064,-1.1786,4624582,6874370112.57
20260213,1452.2342678,1472.9441874,1436.58460214,1450.9643199,1452.2342678,-1.2699479000000338,-0.0874,4167901,6216379202.62
20260224,1485.839043,1489.1604452,1429.7659588,1432.8919844,1450.9643199,-18.07233550000001,-1.2455,4191253,6198840572.43
20260225,1436.01801,1474.76118978,1433.94701804,1457.17729578,1432.8919844,24.28531137999994,1.6948,3688067,5490316149.39
20260226,1452.2342678,1455.05745967,1430.81122361,1432.31562343,1457.17729578,-24.861672349999935,-1.7062,3295801,4855471430.1
20260227,1433.07759217,1442.08445343,1421.38430266,1421.38430266,1432.31562343,-10.931320769999957,-0.7632,3216016,4697692477.08
20260302,1416.48035,1423.318531,1403.44873078,1406.81897713,1421.38430266,-14.56532553000011,-1.0247,3545386,5115063511.43
